  #| i-cache size|i-cache assoc|d-cache size|d-cache assoc|l2-cache size|l2-cache assoc|cache line size| avg. cpi
213|     128     |      1      |     16     |      8      |     2048    |      8       |       64      |  2.88  
214|     128     |      2      |     32     |      8      |     2048    |      8       |       64      |  2.88  
215|     128     |      4      |     32     |      8      |     2048    |      8       |       64      |  2.88  
216|      16     |      4      |     64     |      4      |     2048    |      8       |       64      |  2.88  
217|     128     |      2      |     32     |      4      |     2048    |      8       |       64      |  2.88  
218|      64     |      2      |     64     |      4      |     2048    |      8       |       64      |  2.88  
219|      64     |      1      |     64     |      8      |     2048    |      8       |       64      |  2.88  
220|      64     |      1      |     64     |      4      |     2048    |      8       |       64      |  2.88  
221|      64     |      2      |     32     |      8      |     2048    |      8       |       64      |  2.88  
222|      32     |      4      |     16     |      8      |     2048    |      8       |       64      |  2.88  
223|     128     |      2      |     16     |      8      |     2048    |      8       |       64      |  2.88  
224|     128     |      4      |     16     |      8      |     2048    |      8       |       64      |  2.88  
225|      32     |      2      |     64     |      8      |     2048    |      8       |       64      |  2.88  
226|      16     |      4      |     64     |      2      |     2048    |      8       |       64      |  2.88  
227|      16     |      4      |     32     |      8      |     2048    |      8       |       64      |  2.88  
228|      64     |      2      |     32     |      4      |     2048    |      8       |       64      |  2.88  
229|      64     |      4      |     16     |      8      |     2048    |      8       |       64      |  2.88  
230|      64     |      2      |     64     |      2      |     2048    |      8       |       64      |  2.88  
231|     128     |      1      |     16     |      4      |     2048    |      8       |       64      |  2.88  
232|      64     |      1      |     64     |      2      |     2048    |      8       |       64      |  2.88  
233|      16     |      4      |     32     |      4      |     2048    |      8       |       64      |  2.88  
234|      32     |      2      |     64     |      4      |     2048    |      8       |       64      |  2.88  
235|      64     |      4      |     16     |      4      |     2048    |      8       |       64      |  2.88  
236|     128     |      2      |     16     |      4      |     2048    |      8       |       64      |  2.88  
237|      32     |      2      |     64     |      2      |     2048    |      8       |       64      |  2.88  
238|      32     |      4      |     16     |      4      |     2048    |      8       |       64      |  2.88  
239|      64     |      1      |     32     |      4      |     2048    |      8       |       64      |  2.88  
240|     128     |      4      |     16     |      4      |     2048    |      8       |       64      |  2.88  
241|      64     |      1      |     16     |      8      |     2048    |      8       |       64      |  2.88  
242|      64     |      1      |     32     |      8      |     2048    |      8       |       64      |  2.88  
243|      32     |      2      |     32     |      8      |     2048    |      8       |       64      |  2.88  
244|      32     |      2      |     32     |      4      |     2048    |      8       |       64      |  2.88  
245|      16     |      4      |     16     |      8      |     2048    |      8       |       64      |  2.88  
246|      64     |      2      |     16     |      8      |     2048    |      8       |       64      |  2.88  
247|      64     |      1      |     16     |      4      |     2048    |      8       |       64      |  2.88  
248|      64     |      2      |     16     |      4      |     2048    |      8       |       64      |  2.88  
249|      32     |      2      |     16     |      8      |     2048    |      8       |       64      |  2.88  
250|      16     |      4      |     16     |      4      |     2048    |      8       |       64      |  2.88  
251|      32     |      2      |     16     |      4      |     2048    |      8       |       64      |  2.88  
252|     128     |      1      |     32     |      2      |     2048    |      8       |       64      |  2.88  
253|      32     |      2      |     32     |      2      |     2048    |      16      |       64      |  2.88  
254|     128     |      4      |     32     |      2      |     2048    |      8       |       64      |  2.88  
255|      64     |      4      |     32     |      2      |     2048    |      8       |       64      |  2.88  
256|     128     |      2      |     32     |      2      |     2048    |      8       |       64      |  2.88  
257|      32     |      4      |     32     |      2      |     2048    |      8       |       64      |  2.88  
258|      64     |      2      |     32     |      2      |     2048    |      8       |       64      |  2.88  
259|      16     |      4      |     32     |      2      |     2048    |      8       |       64      |  2.88  
260|      64     |      1      |     32     |      2      |     2048    |      8       |       64      |  2.88  
261|      32     |      2      |     32     |      2      |     2048    |      8       |       64      |  2.88  
262|      32     |      2      |     32     |      2      |     2048    |      4       |       64      |  2.88  
263|     128     |      1      |     16     |      2      |     2048    |      8       |       64      |  2.89  
264|      64     |      4      |     16     |      2      |     2048    |      8       |       64      |  2.89  
265|      32     |      4      |     16     |      2      |     2048    |      8       |       64      |  2.89  
266|     128     |      4      |     16     |      2      |     2048    |      8       |       64      |  2.89  
267|     128     |      2      |     16     |      2      |     2048    |      8       |       64      |  2.89  
268|      16     |      4      |     16     |      2      |     2048    |      8       |       64      |  2.89  
269|      64     |      2      |     16     |      2      |     2048    |      8       |       64      |  2.89  
270|      64     |      1      |     16     |      2      |     2048    |      8       |       64      |  2.89  
271|      32     |      2      |     16     |      2      |     2048    |      8       |       64      |  2.89  
272|      16     |      2      |    128     |      2      |     2048    |      8       |       64      |  2.89  
273|      16     |      2      |    128     |      4      |     2048    |      8       |       64      |  2.89  
274|      16     |      2      |    128     |      8      |     2048    |      8       |       64      |  2.89  
275|      16     |      2      |     64     |      8      |     2048    |      8       |       64      |  2.90  
276|      16     |      2      |     32     |      4      |     2048    |      8       |       64      |  2.90  
277|      16     |      2      |     64     |      4      |     2048    |      8       |       64      |  2.90  
278|      16     |      2      |     32     |      8      |     2048    |      8       |       64      |  2.90  
279|      16     |      2      |     64     |      2      |     2048    |      8       |       64      |  2.90  
280|      32     |      2      |     32     |      2      |     1024    |      16      |       64      |  2.90  
281|      16     |      2      |     16     |      8      |     2048    |      8       |       64      |  2.90  
282|      32     |      2      |     32     |      2      |     1024    |      8       |       64      |  2.90  
283|      16     |      2      |     16     |      4      |     2048    |      8       |       64      |  2.90  
284|      32     |      1      |    128     |      2      |     2048    |      8       |       64      |  2.90  
285|      32     |      2      |     32     |      2      |     1024    |      4       |       64      |  2.90  
286|      32     |      1      |    128     |      4      |     2048    |      8       |       64      |  2.90  
287|      32     |      1      |    128     |      8      |     2048    |      8       |       64      |  2.90  
288|      32     |      1      |     64     |      4      |     2048    |      8       |       64      |  2.90  
289|      32     |      1      |     64     |      8      |     2048    |      8       |       64      |  2.90  
290|      32     |      1      |     64     |      2      |     2048    |      8       |       64      |  2.90  
291|      32     |      1      |     32     |      4      |     2048    |      8       |       64      |  2.90  
292|      32     |      1      |     32     |      8      |     2048    |      8       |       64      |  2.90  
293|      32     |      1      |     16     |      8      |     2048    |      8       |       64      |  2.90  
294|      32     |      1      |     16     |      4      |     2048    |      8       |       64      |  2.90  
295|      16     |      2      |     32     |      2      |     2048    |      8       |       64      |  2.90  
296|      32     |      2      |     32     |      2      |     512     |      8       |       64      |  2.90  
297|      32     |      2      |     32     |      2      |     512     |      16      |       64      |  2.90  
298|      32     |      2      |     32     |      2      |     512     |      4       |       64      |  2.90  
299|      32     |      1      |     32     |      2      |     2048    |      8       |       64      |  2.91  
300|      32     |      2      |     32     |      2      |     256     |      16      |       64      |  2.91  
301|      16     |      2      |     16     |      2      |     2048    |      8       |       64      |  2.91  
302|      32     |      2      |     32     |      2      |     256     |      4       |       64      |  2.91  
303|      32     |      2      |     32     |      2      |     256     |      8       |       64      |  2.91  
304|      32     |      1      |     16     |      2      |     2048    |      8       |       64      |  2.91  
305|      16     |      1      |    128     |      2      |     2048    |      8       |       64      |  2.94  
306|      16     |      1      |    128     |      8      |     2048    |      8       |       64      |  2.94  
307|      16     |      1      |    128     |      4      |     2048    |      8       |       64      |  2.94  
308|      16     |      1      |     64     |      8      |     2048    |      8       |       64      |  2.94  
309|      16     |      1      |     64     |      4      |     2048    |      8       |       64      |  2.94  
310|      16     |      1      |     64     |      2      |     2048    |      8       |       64      |  2.94  
311|      16     |      1      |     32     |      8      |     2048    |      8       |       64      |  2.94  
312|      16     |      1      |     32     |      4      |     2048    |      8       |       64      |  2.94  
313|      16     |      1      |     16     |      8      |     2048    |      8       |       64      |  2.94  
314|      16     |      1      |     16     |      4      |     2048    |      8       |       64      |  2.94  
315|      16     |      1      |     32     |      2      |     2048    |      8       |       64      |  2.95  
316|      16     |      1      |     16     |      2      |     2048    |      8       |       64      |  2.95  
317|      32     |      2      |     32     |      2      |     4096    |      16      |       32      |  4.28  
318|      32     |      2      |     32     |      2      |     4096    |      8       |       32      |  4.28  
319|      32     |      2      |     32     |      2      |     4096    |      4       |       32      |  4.28  
320|      32     |      2      |    128     |      8      |     2048    |      8       |       32      |  4.30  
321|      64     |      1      |    128     |      2      |     2048    |      8       |       32      |  4.30  
322|      16     |      4      |    128     |      8      |     2048    |      8       |       32      |  4.30  
323|      64     |      2      |    128     |      2      |     2048    |      8       |       32      |  4.30  
324|     128     |      4      |    128     |      2      |     2048    |      8       |       32      |  4.30  
325|      64     |      4      |    128     |      2      |     2048    |      8       |       32      |  4.30  
326|      32     |      2      |    128     |      2      |     2048    |      8       |       32      |  4.30  
327|     128     |      2      |    128     |      2      |     2048    |      8       |       32      |  4.30  
328|      32     |      4      |    128     |      2      |     2048    |      8       |       32      |  4.30  
329|      16     |      4      |    128     |      4      |     2048    |      8       |       32      |  4.30  
330|      32     |      2      |    128     |      4      |     2048    |      8       |       32      |  4.30  
331|     128     |      4      |    128     |      8      |     2048    |      8       |       32      |  4.30  
332|      64     |      4      |    128     |      8      |     2048    |      8       |       32      |  4.30  
333|     128     |      1      |    128     |      2      |     2048    |      8       |       32      |  4.30  
334|     128     |      2      |    128     |      8      |     2048    |      8       |       32      |  4.30  
335|      64     |      2      |    128     |      8      |     2048    |      8       |       32      |  4.30  
336|     128     |      4      |    128     |      4      |     2048    |      8       |       32      |  4.30  
337|      64     |      4      |    128     |      4      |     2048    |      8       |       32      |  4.30  
338|     128     |      2      |    128     |      4      |     2048    |      8       |       32      |  4.30  
339|      64     |      2      |    128     |      4      |     2048    |      8       |       32      |  4.30  
340|      32     |      4      |    128     |      8      |     2048    |      8       |       32      |  4.30  
341|      16     |      4      |    128     |      2      |     2048    |      8       |       32      |  4.30  
342|      32     |      4      |    128     |      4      |     2048    |      8       |       32      |  4.30  
343|     128     |      1      |    128     |      8      |     2048    |      8       |       32      |  4.30  
344|     128     |      1      |    128     |      4      |     2048    |      8       |       32      |  4.30  
345|      64     |      1      |    128     |      8      |     2048    |      8       |       32      |  4.30  
346|      64     |      1      |    128     |      4      |     2048    |      8       |       32      |  4.30  
347|     128     |      2      |     64     |      8      |     2048    |      8       |       32      |  4.30  
348|     128     |      2      |     64     |      4      |     2048    |      8       |       32      |  4.30  
349|     128     |      4      |     64     |      8      |     2048    |      8       |       32      |  4.30  
350|      32     |      4      |     64     |      8      |     2048    |      8       |       32      |  4.30  
351|      64     |      4      |     64     |      8      |     2048    |      8       |       32      |  4.30  
352|     128     |      4      |     64     |      4      |     2048    |      8       |       32      |  4.30  
353|      32     |      4      |     64     |      4      |     2048    |      8       |       32      |  4.30  
354|      64     |      4      |     64     |      4      |     2048    |      8       |       32      |  4.30  
355|      32     |      2      |     64     |      4      |     2048    |      8       |       32      |  4.30  
356|      32     |      2      |     64     |      8      |     2048    |      8       |       32      |  4.30  
357|      64     |      2      |     64     |      8      |     2048    |      8       |       32      |  4.30  
358|      64     |      2      |     64     |      4      |     2048    |      8       |       32      |  4.30  
359|      16     |      4      |     64     |      4      |     2048    |      8       |       32      |  4.30  
360|      64     |      1      |     16     |      8      |     2048    |      8       |       32      |  4.30  
361|      32     |      2      |     64     |      2      |     2048    |      8       |       32      |  4.30  
362|      64     |      2      |     64     |      2      |     2048    |      8       |       32      |  4.30  
363|      64     |      1      |     64     |      8      |     2048    |      8       |       32      |  4.30  
364|      64     |      1      |     64     |      4      |     2048    |      8       |       32      |  4.30  
365|      16     |      4      |     32     |      8      |     2048    |      8       |       32      |  4.30  
366|     128     |      1      |     64     |      4      |     2048    |      8       |       32      |  4.30  
367|     128     |      1      |     64     |      8      |     2048    |      8       |       32      |  4.30  
368|     128     |      2      |     64     |      2      |     2048    |      8       |       32      |  4.30  
369|     128     |      4      |     64     |      2      |     2048    |      8       |       32      |  4.30  
370|      32     |      4      |     64     |      2      |     2048    |      8       |       32      |  4.30  
371|      64     |      4      |     64     |      2      |     2048    |      8       |       32      |  4.30  
